Decade,Name,Number,Rank
1880,Robert,0.0,12
1880,Olivia,0.0,12
1880,Isabella,0.0,12
1880,Christopher,0.0,12
1880,Margaret,0.0,12
1880,Jacob,0.0,12
1880,Joseph,1320.2,10
1880,Ruth,0.0,12
1880,William,4262.25,3
1880,Jason,0.0,12
1880,Ashley,0.0,12
1880,Noah,0.0,12
1880,Ethan,0.0,12
1880,Charles,2343.95,6
1880,Patricia,0.0,12
1880,Joshua,0.0,12
1880,James,2716.15,4
1880,Lisa,0.0,12
1880,Emily,0.0,12
1880,Barbara,0.0,12
1880,Brian,0.0,12
1880,Liam,0.0,12
1880,Sophia,0.0,12
1880,Linda,0.0,12
1880,Matthew,0.0,12
1880,Emma,0.0,12
1880,Elizabeth,1321.7368421052631,9
1880,Anna,2016.842105263158,7
1880,Michael,0.0,12
1880,Helen,0.0,12
1880,Amanda,0.0,12
1880,Donald,0.0,12
1880,Nicholas,0.0,12
1880,George,2399.0,5
1880,Jennifer,0.0,12
1880,David,0.0,12
1880,Mary,4601.5,1
1880,Richard,0.0,12
1880,Dorothy,0.0,12
1880,John,4519.75,2
1880,Andrew,0.0,12
1880,Jessica,0.0,12
1880,Betty,0.0,12
1880,Frank,1556.75,8
1880,Daniel,0.0,12
1880,Mark,0.0,12
1880,Mason,0.0,12
1890,Betty,0.0,12
1890,Christopher,0.0,12
1890,Jacob,0.0,12
1890,Nicholas,0.0,12
1890,Donald,0.0,12
1890,Sophia,0.0,12
1890,Michael,0.0,12
1890,Liam,0.0,12
1890,Richard,0.0,12
1890,Jennifer,0.0,12
1890,Jason,0.0,12
1890,Daniel,0.0,12
1890,David,0.0,12
1890,Ruth,1735.4736842105262,10
1890,James,2550.3,5
1890,Joshua,0.0,12
1890,Robert,0.0,12
1890,Jessica,0.0,12
1890,Dorothy,0.0,12
1890,Charles,1854.2,9
1890,Elizabeth,0.0,12
1890,Joseph,0.0,12
1890,John,4059.65,2
1890,Brian,0.0,12
1890,Emily,0.0,12
1890,Noah,0.0,12
1890,Mark,0.0,12
1890,Margaret,1903.1,7
1890,Anna,2773.05,4
1890,Olivia,0.0,12
1890,Mason,0.0,12
1890,William,3630.95,3
1890,Frank,0.0,12
1890,Ethan,0.0,12
1890,Ashley,0.0,12
1890,Patricia,0.0,12
1890,Andrew,0.0,12
1890,Lisa,0.0,12
1890,Helen,1895.85,8
1890,Isabella,0.0,12
1890,Barbara,0.0,12
1890,Amanda,0.0,12
1890,Matthew,0.0,12
1890,Mary,6581.5,1
1890,Linda,0.0,12
1890,Emma,0.0,12
1890,George,2185.15,6
1900,Christopher,0.0,12
1900,Jennifer,0.0,12
1900,Mason,0.0,12
1900,Amanda,0.0,12
1900,Richard,0.0,12
1900,Robert,0.0,12
1900,Olivia,0.0,12
1900,George,2196.2,9
1900,David,0.0,12
1900,Frank,0.0,12
1900,Andrew,0.0,12
1900,Daniel,0.0,12
1900,John,4253.55,2
1900,Mary,8109.55,1
1900,Anna,2754.95,7
1900,Michael,0.0,12
1900,Dorothy,0.0,12
1900,Mark,0.0,12
1900,Jessica,0.0,12
1900,Helen,3483.8,3
1900,Nicholas,0.0,12
1900,Noah,0.0,12
1900,Isabella,0.0,12
1900,Margaret,2906.95,6
1900,Betty,0.0,12
1900,Jacob,0.0,12
1900,Liam,0.0,12
1900,Sophia,0.0,12
1900,Linda,0.0,12
1900,Emma,0.0,12
1900,Barbara,0.0,12
1900,Brian,0.0,12
1900,Emily,0.0,12
1900,Matthew,0.0,12
1900,Lisa,0.0,12
1900,James,3126.35,5
1900,Joshua,0.0,12
1900,Patricia,0.0,12
1900,Donald,0.0,12
1900,Ruth,2558.9,8
1900,Ashley,0.0,12
1900,Charles,0.0,12
1900,Elizabeth,2092.15,10
1900,Ethan,0.0,12
1900,Jason,0.0,12
1900,William,3482.35,4
1900,Joseph,0.0,12
1910,Jason,0.0,12
1910,Jennifer,0.0,12
1910,Ethan,0.0,12
1910,Jacob,0.0,12
1910,Olivia,0.0,12
1910,Robert,12012.1,6
1910,Richard,0.0,12
1910,Nicholas,0.0,12
1910,Emma,0.0,12
1910,Emily,0.0,12
1910,Dorothy,10397.95,7
1910,Helen,12435.9,5
1910,Noah,0.0,12
1910,James,13819.95,4
1910,Isabella,0.0,12
1910,Elizabeth,0.0,12
1910,Patricia,0.0,12
1910,Frank,0.0,12
1910,Betty,0.0,12
1910,Joseph,8996.35,9
1910,Charles,0.0,12
1910,Joshua,0.0,12
1910,Matthew,0.0,12
1910,Brian,0.0,12
1910,Liam,0.0,12
1910,Donald,0.0,12
1910,Sophia,0.0,12
1910,Barbara,0.0,12
1910,Ruth,0.0,12
1910,Linda,0.0,12
1910,Ashley,0.0,12
1910,William,15207.95,3
1910,Margaret,9485.3,8
1910,Anna,0.0,12
1910,Mason,0.0,12
1910,Andrew,0.0,12
1910,Mark,0.0,12
1910,Mary,24000.85,1
1910,Amanda,0.0,12
1910,Lisa,0.0,12
1910,Christopher,0.0,12
1910,George,8885.5,10
1910,Jessica,0.0,12
1910,David,0.0,12
1910,John,18905.8,2
1910,Daniel,0.0,12
1910,Michael,0.0,12
1920,Barbara,0.0,12
1920,Jessica,0.0,12
1920,Emma,0.0,12
1920,Linda,0.0,12
1920,Noah,0.0,12
1920,Christopher,0.0,12
1920,Isabella,0.0,12
1920,Mark,0.0,12
1920,Dorothy,18493.1,6
1920,Lisa,0.0,12
1920,Donald,0.0,12
1920,Ashley,0.0,12
1920,Frank,0.0,12
1920,Mason,0.0,12
1920,Richard,0.0,12
1920,Ethan,0.0,12
1920,Michael,0.0,12
1920,Margaret,0.0,12
1920,Anna,0.0,12
1920,William,25752.1,5
1920,Helen,14557.2,8
1920,Robert,28979.5,2
1920,David,0.0,12
1920,Sophia,0.0,12
1920,Betty,14191.85,9
1920,Ruth,0.0,12
1920,John,28382.9,3
1920,Elizabeth,0.0,12
1920,Joseph,0.0,12
1920,Jennifer,0.0,12
1920,Amanda,0.0,12
1920,George,13200.3,10
1920,James,25925.75,4
1920,Charles,15009.25,7
1920,Joshua,0.0,12
1920,Patricia,0.0,12
1920,Matthew,0.0,12
1920,Brian,0.0,12
1920,Emily,0.0,12
1920,Nicholas,0.0,12
1920,Olivia,0.0,12
1920,Jacob,0.0,12
