YearOfBirth,Sex,Number
1880,F,90992
1880,M,110490
1880,Both,201482
1881,F,91953
1881,M,100743
1881,Both,192696
1882,F,107848
1882,M,113686
1882,Both,221534
1883,F,112318
1883,M,104627
1883,Both,216945
1884,F,129020
1884,M,114443
1884,Both,243463
1885,F,133055
1885,M,107799
1885,Both,240854
1886,F,144534
1886,M,110785
1886,Both,255319
1887,F,145981
1887,M,101415
1887,Both,247396
1888,F,178624
1888,M,120850
1888,Both,299474
1889,F,178366
1889,M,110582
1889,Both,288948
1890,F,190376
1890,M,111025
1890,Both,301401
1891,F,185482
1891,M,101193
1891,Both,286675
1892,F,212341
1892,M,122036
1892,Both,334377
1893,F,212905
1893,M,112317
1893,Both,325222
1894,F,222922
1894,M,115770
1894,Both,338692
1895,F,233628
1895,M,117396
1895,Both,351024
1896,F,237918
1896,M,119568
1896,Both,357486
1897,F,234200
1897,M,112758
1897,Both,346958
1898,F,258770
1898,M,122691
1898,Both,381461
1899,F,233023
1899,M,106212
1899,Both,339235
1900,F,299822
1900,M,150490
1900,Both,450312
1901,F,239347
1901,M,106469
1901,Both,345816
1902,F,264075
1902,M,122659
1902,Both,386734
1903,F,261972
1903,M,119233
1903,Both,381205
1904,F,275371
1904,M,128125
1904,Both,403496
1905,F,291623
1905,M,132318
1905,Both,423941
1906,F,295304
1906,M,133157
1906,Both,428461
1907,F,318565
1907,M,146830
1907,Both,465395
1908,F,334315
1908,M,154343
1908,Both,488658
1909,F,347232
1909,M,163999
1909,Both,511231
1910,F,396503
1910,M,194216
1910,Both,590719
1911,F,418304
1911,M,225967
1911,Both,644271
1912,F,558113
1912,M,429946
1912,Both,988059
1913,F,624536
1913,M,512558
1913,Both,1137094
1914,F,761561
1914,M,654764
1914,Both,1416325
1915,F,983876
1915,M,848603
1915,Both,1832479
1916,F,1044328
1916,M,890095
1916,Both,1934423
1917,F,1081290
1917,M,925508
1917,Both,2006798
1918,F,1157651
1918,M,1013522
1918,Both,2171173
1919,F,1130134
1919,M,980137
1919,Both,2110271
1920,F,1198287
1920,M,1064445
1920,Both,2262732
1921,F,1233019
1921,M,1101447
1921,Both,2334466
1922,F,1200951
1922,M,1088286
1922,Both,2289237
1923,F,1206326
1923,M,1096187
1923,Both,2302513
1924,F,1248902
1924,M,1132749
1924,Both,2381651
1925,F,1217365
1925,M,1115952
1925,Both,2333317
1926,F,1185350
1926,M,1110516
1926,Both,2295866
1927,F,1192350
1927,M,1126817
1927,Both,2319167
1928,F,1153140
1928,M,1107542
1928,Both,2260682
1929,F,1116472
1929,M,1075396
1929,Both,2191868
1930,F,1125817
1930,M,1097224
1930,Both,2223041
1931,F,1064552
1931,M,1039243
1931,Both,2103795
1932,F,1067019
1932,M,1043884
1932,Both,2110903
1933,F,1007748
1933,M,991205
1933,Both,1998953
1934,F,1044064
1934,M,1032326
1934,Both,2076390
1935,F,1048464
1935,M,1040987
1935,Both,2089451
1936,F,1040243
1936,M,1037009
1936,Both,2077252
1937,F,1063879
1937,M,1066379
1937,Both,2130258
1938,F,1103312
1938,M,1108880
1938,Both,2212192
1939,F,1096549
1939,M,1106617
1939,Both,2203166
1940,F,1143357
1940,M,1158943
1940,Both,2302300
1941,F,1207942
1941,M,1228011
1941,Both,2435953
1942,F,1350571
1942,M,1380812
1942,Both,2731383
1943,F,1395115
1943,M,1426908
1943,Both,2822023
1944,F,1327128
1944,M,1362607
1944,Both,2689735
1945,F,1307016
1945,M,1345660
1945,Both,2652676
1946,F,1571209
1946,M,1623728
1946,Both,3194937
1947,F,1772650
1947,M,1829293
1947,Both,3601943
1948,F,1697809
1948,M,1754438
1948,Both,3452247
1949,F,1710832
1949,M,1773754
1949,Both,3484586
1950,F,1713450
1950,M,1791474
1950,Both,3504924
1951,F,1800289
1951,M,1881716
1951,Both,3682005
1952,F,1854464
1952,M,1943744
1952,Both,3798208
1953,F,1880908
1953,M,1971136
1953,Both,3852044
1954,F,1941632
1954,M,2037515
1954,Both,3979147
1955,F,1954722
1955,M,2058035
1955,Both,4012757
1956,F,2007513
1956,M,2113761
1956,Both,4121274
1957,F,2044225
1957,M,2155921
1957,Both,4200146
1958,F,2010941
1958,M,2120843
1958,Both,4131784
1959,F,2023078
1959,M,2133539
1959,Both,4156617
1960,F,2022121
1960,M,2132756
1960,Both,4154877
1961,F,2017432
1961,M,2122608
1961,Both,4140040
1962,F,1966612
1962,M,2068953
1962,Both,4035565
1963,F,1927239
1963,M,2031746
1963,Both,3958985
1964,F,1894676
1964,M,1993353
1964,Both,3888029
1965,F,1765063
1965,M,1861377
1965,Both,3626440
1966,F,1691925
1966,M,1783992
1966,Both,3475917
1967,F,1650839
1967,M,1744507
1967,Both,3395346
1968,F,1640167
1968,M,1738999
1968,Both,3379166
1969,F,1687000
1969,M,1789709
1969,Both,3476709
1970,F,1748250
1970,M,1859647
1970,Both,3607897
1971,F,1663570
1971,M,1769292
1971,Both,3432862
1972,F,1521234
1972,M,1622736
1972,Both,3143970
1973,F,1458155
1973,M,1559416
1973,Both,3017571
1974,F,1467451
1974,M,1573195
1974,Both,3040646
1975,F,1457750
1975,M,1562298
1975,Both,3020048
1976,F,1465169
1976,M,1569980
1976,Both,3035149
1977,F,1533070
1977,M,1643802
1977,Both,3176872
1978,F,1531758
1978,M,1642388
1978,Both,3174146
1979,F,1605130
1979,M,1722104
1979,Both,3327234
1980,F,1660042
1980,M,1784088
1980,Both,3444130
1981,F,1667611
1981,M,1791101
1981,Both,3458712
1982,F,1692818
1982,M,1814211
1982,Both,3507029
1983,F,1670167
1983,M,1791964
1983,Both,3462131
1984,F,1683111
1984,M,1803995
1984,Both,3487106
1985,F,1720164
1985,M,1847231
1985,Both,3567395
1986,F,1714784
1986,M,1840347
1986,Both,3555131
1987,F,1737981
1987,M,1865804
1987,Both,3603785
1988,F,1779975
1988,M,1912764
1988,Both,3692739
1989,F,1843175
1989,M,2000082
1989,Both,3843257
1990,F,1897807
1990,M,2052662
1990,Both,3950469
1991,F,1874489
1991,M,2019523
1991,Both,3894012
1992,F,1843383
1992,M,1996492
1992,Both,3839875
1993,F,1808508
1993,M,1960486
1993,Both,3768994
1994,F,1785184
1994,M,1931313
1994,Both,3716497
1995,F,1758010
1995,M,1902971
1995,Both,3660981
1996,F,1752364
1996,M,1893548
1996,Both,3645912
1997,F,1739963
1997,M,1884324
1997,Both,3624287
1998,F,1766075
1998,M,1910424
1998,Both,3676499
1999,F,1772788
1999,M,1918984
1999,Both,3691772
2000,F,1814738
2000,M,1962556
2000,Both,3777294
2001,F,1799199
2001,M,1941401
2001,Both,3740600
2002,F,1795367
2002,M,1939950
2002,Both,3735317
2003,F,1825509
2003,M,1973612
2003,Both,3799121
2004,F,1834379
2004,M,1983010
2004,Both,3817389
2005,F,1845640
2005,M,1995115
2005,Both,3840755
2006,F,1898776
2006,M,2052652
2006,Both,3951428
2007,F,1919775
2007,M,2072505
2007,Both,3992280
2008,F,1887660
2008,M,2036750
2008,Both,3924410
2009,F,1833461
2009,M,1979895
2009,Both,3813356
2010,F,1773440
2010,M,1914629
2010,Both,3688069
2011,F,1754424
2011,M,1894262
2011,Both,3648686
2012,F,1755254
2012,M,1890889
2012,Both,3646143
2013,F,1747544
2013,M,1883945
2013,Both,3631489
2014,F,1777242
2014,M,1910876
2014,Both,3688118
2015,F,1769325
2015,M,1898858
2015,Both,3668183
