YearOfBirth,Sex,Count
1880,F,942
1880,M,1058
1880,Both,1889
1881,F,938
1881,M,997
1881,Both,1830
1882,F,1028
1882,M,1099
1882,Both,2012
1883,F,1054
1883,M,1030
1883,Both,1962
1884,F,1172
1884,M,1125
1884,Both,2158
1885,F,1197
1885,M,1097
1885,Both,2139
1886,F,1282
1886,M,1110
1886,Both,2225
1887,F,1306
1887,M,1067
1887,Both,2215
1888,F,1474
1888,M,1177
1888,Both,2454
1889,F,1479
1889,M,1111
1889,Both,2390
1890,F,1534
1890,M,1161
1890,Both,2475
1891,F,1533
1891,M,1127
1891,Both,2454
1892,F,1661
1892,M,1260
1892,Both,2686
1893,F,1652
1893,M,1179
1893,Both,2622
1894,F,1702
1894,M,1239
1894,Both,2705
1895,F,1808
1895,M,1241
1895,Both,2799
1896,F,1825
1896,M,1266
1896,Both,2839
1897,F,1799
1897,M,1229
1897,Both,2763
1898,F,1975
1898,M,1289
1898,Both,2987
1899,F,1842
1899,M,1200
1899,Both,2777
1900,F,2225
1900,M,1506
1900,Both,3395
1901,F,1943
1901,M,1210
1901,Both,2901
1902,F,2042
1902,M,1320
1902,Both,3065
1903,F,2083
1903,M,1306
1903,Both,3096
1904,F,2166
1904,M,1395
1904,Both,3252
1905,F,2234
1905,M,1421
1905,Both,3331
1906,F,2220
1906,M,1413
1906,Both,3307
1907,F,2399
1907,M,1549
1907,Both,3592
1908,F,2434
1908,M,1584
1908,Both,3640
1909,F,2548
1909,M,1679
1909,Both,3837
1910,F,2790
1910,M,1839
1910,Both,4174
1911,F,2868
1911,M,1999
1911,Both,4394
1912,F,3445
1912,M,2906
1912,Both,5726
1913,F,3707
1913,M,3260
1913,Both,6263
1914,F,4205
1914,M,3759
1914,Both,7160
1915,F,4968
1915,M,4390
1915,Both,8412
1916,F,5162
1916,M,4534
1916,Both,8692
1917,F,5313
1917,M,4602
1917,Both,8880
1918,F,5587
1918,M,4814
1918,Both,9306
1919,F,5559
1919,M,4809
1919,Both,9304
1920,F,5765
1920,M,4991
1920,Both,9633
1921,F,5870
1921,M,4986
1921,Both,9727
1922,F,5789
1922,M,4968
1922,Both,9659
1923,F,5739
1923,M,4902
1923,Both,9538
1924,F,5899
1924,M,4970
1924,Both,9732
1925,F,5773
1925,M,4868
1925,Both,9514
1926,F,5622
1926,M,4838
1926,Both,9336
1927,F,5602
1927,M,4803
1927,Both,9268
1928,F,5436
1928,M,4723
1928,Both,9051
1929,F,5273
1929,M,4543
1929,Both,8709
1930,F,5249
1930,M,4539
1930,Both,8711
1931,F,4976
1931,M,4317
1931,Both,8303
1932,F,5100
1932,M,4283
1932,Both,8343
1933,F,4856
1933,M,4155
1933,Both,8016
1934,F,4973
1934,M,4208
1934,Both,8192
1935,F,4891
1935,M,4144
1935,Both,8084
1936,F,4856
1936,M,4037
1936,Both,7904
1937,F,4927
1937,M,4018
1937,Both,7964
1938,F,4994
1938,M,4036
1938,Both,8055
1939,F,4952
1939,M,3967
1939,Both,7942
1940,F,5025
1940,M,3935
1940,Both,7982
1941,F,5086
1941,M,4001
1941,Both,8085
1942,F,5380
1942,M,4044
1942,Both,8385
1943,F,5366
1943,M,4039
1943,Both,8380
1944,F,5244
1944,M,3909
1944,Both,8162
1945,F,5243
1945,M,3783
1945,Both,8081
1946,F,5686
1946,M,4016
1946,Both,8682
1947,F,6103
1947,M,4267
1947,Both,9305
1948,F,6039
1948,M,4198
1948,Both,9186
1949,F,6063
1949,M,4201
1949,Both,9235
1950,F,6113
1950,M,4196
1950,Both,9281
1951,F,6213
1951,M,4247
1951,Both,9425
1952,F,6392
1952,M,4262
1952,Both,9583
1953,F,6494
1953,M,4337
1953,Both,9747
1954,F,6610
1954,M,4353
1954,Both,9861
1955,F,6724
1955,M,4390
1955,Both,9997
1956,F,6889
1956,M,4450
1956,Both,10216
1957,F,7012
1957,M,4552
1957,Both,10381
1958,F,7022
1958,M,4499
1958,Both,10382
1959,F,7196
1959,M,4575
1959,Both,10601
1960,F,7334
1960,M,4590
1960,Both,10752
1961,F,7528
1961,M,4650
1961,Both,11004
1962,F,7583
1962,M,4623
1962,Both,10981
1963,F,7659
1963,M,4619
1963,Both,11097
1964,F,7801
1964,M,4593
1964,Both,11208
1965,F,7534
1965,M,4419
1965,Both,10834
1966,F,7614
1966,M,4534
1966,Both,11022
1967,F,7850
1967,M,4550
1967,Both,11243
1968,F,8193
1968,M,4737
1968,Both,11734
1969,F,8705
1969,M,5041
1969,Both,12468
1970,F,9349
1970,M,5433
1970,Both,13407
1971,F,9634
1971,M,5657
1971,Both,13832
1972,F,9661
1972,M,5753
1972,Both,14011
1973,F,9801
1973,M,5875
1973,Both,14267
1974,F,10239
1974,M,6004
1974,Both,14737
1975,F,10604
1975,M,6330
1975,Both,15368
1976,F,10902
1976,M,6493
1976,Both,15845
1977,F,11322
1977,M,6849
1977,Both,16542
1978,F,11465
1978,M,6759
1978,Both,16616
1979,F,11962
1979,M,7070
1979,Both,17339
1980,F,12154
1980,M,7285
1980,Both,17711
1981,F,12186
1981,M,7284
1981,Both,17742
1982,F,12322
1982,M,7358
1982,Both,17906
1983,F,12063
1983,M,7335
1983,Both,17662
1984,F,12168
1984,M,7333
1984,Both,17740
1985,F,12497
1985,M,7579
1985,Both,18239
1986,F,12818
1986,M,7824
1986,Both,18781
1987,F,13252
1987,M,8147
1987,Both,19471
1988,F,13875
1988,M,8485
1988,Both,20424
1989,F,14543
1989,M,9226
1989,Both,21617
1990,F,15233
1990,M,9482
1990,Both,22675
1991,F,15459
1991,M,9645
1991,Both,23075
1992,F,15608
1992,M,9813
1992,Both,23355
1993,F,15796
1993,M,10163
1993,Both,23753
1994,F,15753
1994,M,10245
1994,Both,23845
1995,F,15754
1995,M,10326
1995,Both,23963
1996,F,15889
1996,M,10531
1996,Both,24301
1997,F,16157
1997,M,10809
1997,Both,24879
1998,F,16596
1998,M,11298
1998,Both,25713
1999,F,16938
1999,M,11608
1999,Both,26337
2000,F,17653
2000,M,12111
2000,Both,27509
2001,F,17967
2001,M,12297
2001,Both,27975
2002,F,18080
2002,M,12479
2002,Both,28275
2003,F,18426
2003,M,12753
2003,Both,28883
2004,F,18823
2004,M,13217
2004,Both,29495
2005,F,19178
2005,M,13361
2005,Both,30146
2006,F,20045
2006,M,14028
2006,Both,31616
2007,F,20554
2007,M,14387
2007,Both,32409
2008,F,20443
2008,M,14608
2008,Both,32494
2009,F,20169
2009,M,14520
2009,Both,32229
2010,F,19804
2010,M,14246
2010,Both,31609
2011,F,19549
2011,M,14331
2011,Both,31429
2012,F,19477
2012,M,14220
2012,Both,31249
2013,F,19203
2013,M,14026
2013,Both,30798
2014,F,19150
2014,M,14026
2014,Both,30684
2015,F,18993
2015,M,13959
2015,Both,30460
